15,15
200,200
0,48,18,34,50,235,235,50,50,235,50,210,81,225,226
0,64,65,33,50,251,251,146,50,251,36,226,89,241,242
0,80,81,70,67,0,0,146,203,50,52,69,0,0,0
0,96,97,86,83,70,209,0,219,50,68,69,0,0,0
0,0,0,102,99,86,192,39,194,195,84,85,0,0,0
0,0,0,0,0,102,208,209,210,211,100,101,252,0,0
0,0,0,0,0,0,224,225,226,227,0,0,215,216,0
0,0,0,0,0,0,240,241,242,243,0,0,231,232,0
0,0,0,196,197,198,0,0,0,0,0,0,247,248,0
0,0,0,212,213,214,0,0,0,0,0,0,0,0,0
0,0,0,228,229,230,0,0,0,0,0,0,0,0,0
0,0,0,244,245,246,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,5
33,19,0,0,0,0,0,0,0,0,0,18,19,20,0
49,41,35,20,0,0,0,0,0,0,33,34,35,40,0
