15,12
0,0
28,28,28,34,34,34,34,34,34,78,78,78,78,78,78
28,28,28,34,34,34,34,34,34,78,78,78,78,78,78
44,44,44,78,34,34,34,34,34,78,78,78,78,78,78
78,78,78,78,78,78,34,34,34,78,78,78,78,78,78
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
78,11,12,13,78,78,78,78,78,78,78,78,78,78,78
78,110,12,12,78,78,78,78,78,78,78,78,78,78,78
78,78,78,28,78,78,78,78,78,78,78,78,78,78,78
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
